"word","Freq","name"
"Leisure",43,"TABANAN"
"Wave",48,"TABANAN"
"Vacation",51,"TABANAN"
"Plant",53,"TABANAN"
"Rock",60,"TABANAN"
"Cloud",63,"TABANAN"
"Coastal and oceanic landforms",64,"TABANAN"
"Tourism",66,"TABANAN"
"Body of water",74,"TABANAN"
"Nature",77,"TABANAN"
"Natural landscape",94,"TABANAN"
"Shore",99,"TABANAN"
"Tree",102,"TABANAN"
"Water",103,"TABANAN"
"Ocean",137,"TABANAN"
"Coast",147,"TABANAN"
"Sea",162,"TABANAN"
"Sky",166,"TABANAN"
"Accessory fruit",1,"BADUNG"
"Action figure",1,"BADUNG"
"African elephant",1,"BADUNG"
"Aguas frescas",1,"BADUNG"
"Air gun",1,"BADUNG"
"Air show",1,"BADUNG"
"Aircraft engine",1,"BADUNG"
"Aisle",1,"BADUNG"
"Akita",1,"BADUNG"
"Al dente",1,"BADUNG"
"Algae",1,"BADUNG"
"All-terrain vehicle",1,"BADUNG"
"Alligator",1,"BADUNG"
"Allium",1,"BADUNG"
"Almond milk",1,"BADUNG"
"Aluminium",1,"BADUNG"
"Aluminum can",1,"BADUNG"
"Amaryllis family",1,"BADUNG"
"Amazake",1,"BADUNG"
"American alligator",1,"BADUNG"
"American crocodile",1,"BADUNG"
"Analog synthesizer",1,"BADUNG"
"Analog watch",1,"BADUNG"
"Ancient dog breeds",1,"BADUNG"
"Angling",1,"BADUNG"
"Animal fat",1,"BADUNG"
"Animal sports",1,"BADUNG"
"Anime",1,"BADUNG"
"Anticuchos",1,"BADUNG"
"Antipasto",1,"BADUNG"
"Antique car",1,"BADUNG"
"Antler",1,"BADUNG"
"Arabian mau",1,"BADUNG"
"Arancini",1,"BADUNG"
"Arena",1,"BADUNG"
"Argiope",1,"BADUNG"
"Art exhibition",1,"BADUNG"
"Art gallery",1,"BADUNG"
"Artificial island",1,"BADUNG"
"Asclepiadoideae",1,"BADUNG"
"Asian soups",1,"BADUNG"
"Atlantic canary",1,"BADUNG"
"Atlantic spanish mackerel",1,"BADUNG"
"Attic",1,"BADUNG"
"Audio equipment",1,"BADUNG"
"Auditorium",1,"BADUNG"
"Automotive mirror",1,"BADUNG"
"Autumn",1,"BADUNG"
"Baby in car seat",1,"BADUNG"
"Bachelorette party",1,"BADUNG"
"Baggage",1,"BADUNG"
"Baguette",1,"BADUNG"
"Balloon",1,"BADUNG"
"Baluster",1,"BADUNG"
"Balut",1,"BADUNG"
"Banana leaf",1,"BADUNG"
"Banana leaf rice",1,"BADUNG"
"Bangers and mash",1,"BADUNG"
"Bánh khoai mì",1,"BADUNG"
"Banknote",1,"BADUNG"
"Barbecue chicken",1,"BADUNG"
"Barbed wire",1,"BADUNG"
"Barista",1,"BADUNG"
"Barquentine",1,"BADUNG"
"Baseball cap",1,"BADUNG"
"Basil",1,"BADUNG"
"Bay breeze",1,"BADUNG"
"Bayou",1,"BADUNG"
"Beach soccer",1,"BADUNG"
"Beacon",1,"BADUNG"
"Beef stroganoff",1,"BADUNG"
"Beer bread",1,"BADUNG"
"Beer glass",1,"BADUNG"
"Beige",1,"BADUNG"
"Beverage can",1,"BADUNG"
"Bia hoi",1,"BADUNG"
"Bicycle accessory",1,"BADUNG"
"Bicycle clothing",1,"BADUNG"
"Bicycle frame",1,"BADUNG"
"Billboard",1,"BADUNG"
"Biome",1,"BADUNG"
"Bivalve",1,"BADUNG"
"Black cat",1,"BADUNG"
"Block party",1,"BADUNG"
"Blossom",1,"BADUNG"
"Bomb vessel",1,"BADUNG"
"Book cover",1,"BADUNG"
"Bottle cap",1,"BADUNG"
"Boutique",1,"BADUNG"
"Bovine",1,"BADUNG"
"Bowed string instrument",1,"BADUNG"
"Bowling",1,"BADUNG"
"Boza",1,"BADUNG"
"Brambling",1,"BADUNG"
"Brass",1,"BADUNG"
"Bratwurst",1,"BADUNG"
"Bread pudding",1,"BADUNG"
"Bridal accessory",1,"BADUNG"
"Bridal clothing",1,"BADUNG"
"Brochette",1,"BADUNG"
"Bronze",1,"BADUNG"
"Broth",1,"BADUNG"
"Brown hair",1,"BADUNG"
"Buffalo burger",1,"BADUNG"
"Bug",1,"BADUNG"
