"ID","URL","favs","views","owner_location","title","description","county","lat","lon"
"25605679553","https://live.staticflickr.com/1597/26262790661_ddb741c17c.jpg",0,3,"Surabaya","Razia kipem bali kemarin pagi,.hehehe...","","Badung Kabupaten","-8.715219","115.185358"
"26957545761","https://live.staticflickr.com/7368/26586742994_be1cf51280.jpg",0,3,"Surabaya","Pantai the bay","","Badung Kabupaten","-8.803875","115.233206"
"26713817394","https://live.staticflickr.com/7394/27433614166_8b6db23df2.jpg",0,3,"<U+9AD8><U+96C4>, <U+81FA><U+7063>","20151004_092213","","Denpasar","-8.675253","115.264402"
"27287695556","https://live.staticflickr.com/7373/27368053672_849dcb0681.jpg",0,3,"<U+9AD8><U+96C4>, <U+81FA><U+7063>","20151004_092507","","Denpasar","-8.675253","115.264402"
"27466651226","https://live.staticflickr.com/7182/27545666736_2505d93375.jpg",0,3,"BALI, INDONESIA","Excited Meeting Surprise.. At nice place too @stickeebali   ~~~~ErryBali~~~~","","Denpasar","-8.703806","115.176583"
"25430373767","https://live.staticflickr.com/4765/38532681130_6df31f4acf.jpg",0,3,"Doha, Qatar","IMG_1704","","Badung Kabupaten","-8.811195","115.149941"
"41268162452","https://live.staticflickr.com/869/26485717977_e24ac62a3f.jpg",0,3,"Portland, United States","IMG_1564","","Gianyar Kabupaten","-8.501781","115.258011"
"40414976405","https://live.staticflickr.com/786/40637768664_7f628bd881.jpg",0,3,"Portland, United States","IMG_1631","","Gianyar Kabupaten","-8.507003","115.268363"
"40414975965","https://live.staticflickr.com/897/40637767434_2de0045841.jpg",0,3,"Portland, United States","IMG_1630","","Gianyar Kabupaten","-8.506834","115.267508"
"39501111920","https://live.staticflickr.com/821/40637909084_dd75cd5bfd.jpg",0,3,"Portland, United States","IMG_1618","","Gianyar Kabupaten","-8.507767","115.265013"
"40596891994","https://live.staticflickr.com/793/27479260738_d5614a50fd.jpg",0,3,"Portland, United States","IMG_1472","","Gianyar Kabupaten","-8.500925","115.254713"
"41310383241","https://live.staticflickr.com/873/27479259468_86ea52a5bb.jpg",0,3,"Portland, United States","IMG_1470","","Gianyar Kabupaten","-8.502864","115.254861"
"40596877954","https://live.staticflickr.com/872/40637105204_9c2714e41a.jpg",0,3,"Portland, United States","IMG_1432","","Gianyar Kabupaten","-8.506020","115.262566"
"40596866584","https://live.staticflickr.com/869/40455361975_09177eb3ba.jpg",0,3,"Portland, United States","IMG_1401","","Gianyar Kabupaten","-8.506475","115.261488"
"40414905455","https://live.staticflickr.com/866/40455351615_ef91ccfc85.jpg",0,3,"Portland, United States","IMG_1367","","Gianyar Kabupaten","-8.509964","115.256400"
"42037919541","https://live.staticflickr.com/975/41278900745_bbb61a9c5a.jpg",0,3,"Roma","","","Gianyar Kabupaten","-8.518953","115.260247"
