"DENPASAR","Freq"
"Wine glass",1
"Winter",1
"Wire",1
"Woodland",1
"Woodwind instrument",1
"Working animal",1
"Wrist",1
"Yacht",1
"Yatai",1
"Yong tau foo",1
"York boat",1
"Zucchini",1
"Adventure game",2
"Aerial photography",2
"Airline",2
"Airplane",2
"Alcohol",2
"Amusement park",2
"Annual plant",2
"Apartment",2
"Aquanaut",2
"Art exhibition",2
"Artifact",2
"Artificial turf",2
"Artwork",2
"Audience",2
"Automotive design",2
"Azure",2
"Baby carriage",2
"Baked goods",2
"Bakso",2
"Bathing",2
"Bay",2
"Beam",2
"Bedrock",2
"Beer",2
"Bell peppers and chili peppers",2
"Bellflower family",2
"Bench",2
"Bigoli",2
"Blond",2
"Boardsport",2
"Boardwalk",2
"Boats and boating--Equipment and supplies",2
"Bread",2
"Brochette",2
"Brown",2
"Bumper",2
"Cabinetry",2
"Café",2
"Cage",2
"Cake",2
"Calligraphy",2
"Camera accessory",2
"Camera lens",2
"Cap",2
"Carrack",2
"Centrepiece",2
"Cestrum",2
"Charadriiformes",2
"Chili pepper",2
"Christmas ornament",2
"Christmas tree",2
"Churrasco food",2
"Circle",2
"Cocktail garnish",2
"Coconut",2
"Coffeehouse",2
"Collection",2
"Comics",2
"Commercial vehicle",2
"Compact mpv",2
"Concrete",2
"Construction",2
"Convention",2
"Countertop",2
"Cuckoo",2
"Cuculiformes",2
"Customer",2
"Deck",2
"Decoration",2
"Dendrobium",2
"Desert Palm",2
"Dishware",2
"Distilled beverage",2
"Divemaster",2
"Dragonflies and damseflies",2
"Drinking",2
"Drinkware",2
"Driving",2
"Duck",2
"Ducks, geese and swans",2
"Ecoregion",2
"Egg",2
"Endurance sports",2
"Espresso",2
"Exhibition",2
"Explosion",2
"Finch",2
"Fire",2
"Flea market",2
"Flyer",2
"Folk instrument",2
"Food court",2
"Foot",2
"fragrant white water lily",2
"Fritter",2
"Fur",2
"Gambling",2
"Geology",2
"Graffiti",2
"Graphics",2
"Grassland",2
"Gravy",2
"Great dane",2
"Greengrocer",2
"Grocer",2
"Hacienda",2
"Harbor",2
"Hatchback",2
"Heart",2
"Herbaceous plant",2
"History",2
"Holy places",2
"Home appliance",2
"Horse",2
"Hot air balloon",2
"Hut",2
"Ice cream",2
"Identity document",2
"Ikan bakar",2
"Inlet",2
"Island",2
"Italian food",2
"Italian soda",2
"Japanese spitz",2
"Jumping",2
"Killdeer",2
"Kindergarten",2
"Kitchen",2
"Kitchen appliance",2
"Kite",2
"Kitten",2
"Lark",2
"Learning",2
"Lemonade",2
"Lens",2
"Light fixture",2
"Lighting accessory",2
"Livestock",2
"Lobby",2
"Loft",2
"Logo",2
"Long-distance running",2
"Lumber",2
"Luxury vehicle",2
"Macro photography",2
"Mai tai",2
"Mansion",2
"Marina",2
"Meteorological phenomenon",2
"Metro",2
"Mini SUV",2
"Mojito",2
"Monastery",2
"Moscow mule",2
"Moss",2
"moth orchid",2
"Motorcycle accessories",2
"Mural",2
"Music artist",2
"Nap",2
"Nasi liwet",2
"National park",2
"Naval architecture",2
"Nepenthes",2
"Net-winged insects",2
"New year",2
"New year's eve",2
"New Years Day",2
"Noodle",2
"Old-growth forest",2
"Orchids of the philippines",2
"Paddy field",2
"Parachute",2
"Party favor",2
"Passenger",2
"Passport",2
"People in nature",2
"Perching bird",2
"Pest",2
"Pet supply",2
"Pier",2
"Pine family",2
"Pizza",2
"Plank",2
"Player",2
"Playground slide",2
"Plush",2
"Poker",2
"Pole",2
"Pub",2
"Public transport",2
"Rain",2
"Reef",2
"Reflecting pool",2
"Resort town",2
"Rhododendron",2
"Rice",2
"Road surface",2
"Rowing",2
"Rye bread",2
"Sacred lotus",2
"Samba",2
"Sari",2
"Satay",2
"Seminar",2
"Service",2
"Shorts",2
"Shrub",2
"Sign",2
"Single-lens reflex camera",2
"Skewer",2
"Skimboarding",2
"Sleep",2
"Sliced bread",2
"Smoke",2
"Snorkeling",2
"Soft drink",2
"Songbird",2
"Spaghetti",2
"Sparkler",2
"Speedboat",2
"Spray",2
"Stairs",2
"Steel",2
"Still life photography",2
"Street art",2
"Street dog",2
"Stuffed toy",2
"Stunt performer",2
"Sunlounger",2
"Superfood",2
"Supermoto",2
"Surfboard",2
"Surfing Equipment",2
"Swan",2
"Tabletop game",2
"Tea",2
"Tent",2
"Terrestrial animal",2
"Thermal bath",2
"Thread",2
"Tide",2
"Tool",2
"Tower block",2
"Traditional vietnamese musical instruments",2
"Trail",2
"Trenette",2
"Truck",2
"Uniform",2
"Waist",2
"Waste",2
"Water bird",2
"Waterfowl",2
"Wedding",2
"Wedding dress",2
"White-collar worker",2
"White rice",2
"Windsports",2
"Wrinkle",2
"Album cover",3
"Aquatic plant",3
